adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/n5eOJxRTtAz2zmdvtpONLnt0U0q.jpg,"[28, 12, 53]",864692,hi,पठान,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",35.179,/okde1LKfBVIn9adsGcoJ805VDLS.jpg,2023-01-25,Pathaan,False,7.9,37
False,/ej3y6rQLcArQcYZvcNSkXPMvW6O.jpg,"[18, 53]",986594,hi,मिसिज़ चैटर्जी वर्सेज़ नॉर्वे,An immigrant Indian mother fights the Norwegian foster care system and legal machinery to win back custody of her children.,32.766,/uy26E04DxYdICergibgtAFIUuDo.jpg,2023-03-17,Mrs. Chatterjee Vs Norway,False,0,0
False,/ela0vO7QFFTuQdUatbwD4S6qMCX.jpg,[18],1014060,hi,Zwigato,"Set in Bhubaneshwar, Odisha the film is a sociopolitical gaze on the gig economy, from the perspective of a food-app delivery driver and his trials and tribulations.",27.086,/iyVdrc49jjv3vw87oWVgFXCe9rq.jpg,2023-03-17,Zwigato,False,0,0
False,,"[35, 18]",1073117,hi,शुभ निकाह,Upcoming Hindi social drama movie directed by Arshad Siddiqui.,23.607,/2s08kQB6PCY3TAGkBwdR0xdPvb9.jpg,2023-03-17,Shubh Nikah,False,0,0
False,/jdbvoA0m72akGkL4RUbckc87jKG.jpg,"[35, 10749]",611359,hi,तू झूठी मैं मक्कार,Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent. A story of love where the battle is of wits.,12.25,/zHLtNP4KP0GMi6p1ACf2QvVnBvI.jpg,2023-03-08,Tu Jhoothi Main Makkaar,False,7.8,5
False,/9XSux1N1t5jqIR96U4EZlo7QZZS.jpg,"[53, 28, 18]",778946,hi,मिशन मजनू,"Set in the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.",8.951,/jHQitiHK4M561W1O7WwfJ0dJ8S1.jpg,2023-01-20,Mission Majnu,False,6.7,14
False,/9dX0XlhmarggjFzr32NCp2alBW0.jpg,[18],850180,hi,Lost,"Crime reporter Vidhi investigates the sudden disappearance of a college student. While society associates different theories for his disappearance, what really is the true story?",7.833,/yRQkH26GZ7Qp9xkAMfmVNnkb1Ez.jpg,2023-02-16,Lost,False,6,2
False,/tj6yPh5AKh17Tav2QQuk9q8njNI.jpg,"[28, 53, 80]",965606,hi,भोला,"An ex-convict endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by an Inspector.",6.236,/iIpevyUKHn2tYydRWeHIDz51YXW.jpg,2023-03-30,Bholaa,False,0,0
False,/17ThN5s4ibMFBdDysUBM8SX9lK0.jpg,"[28, 35, 18, 10749]",884434,hi,शहज़ादा,"Bantu is hated and neglected by his father Valmiki ever since he was a toddler. Samara, his boss is the first person to show him affection and love until he discovers that the Jindals are his biological parents and not Valmiki. Bantu then decides to seek the Jindals' love and protect them from the threats they face.",6.142,/rcKbsGBZCwDs1sVXNkGHqEVLzQW.jpg,2023-02-17,Shehzada,False,5.5,2
False,/11S3WvccTIyJtvHqXc3iz2Zrsip.jpg,[53],1018228,hi,चोर निकल के भागा,A flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt — but the plan spins into a mayhem when the plane gets hijacked.,5.686,/1MIDERaEUMw1rYDM99tGZPY80Ap.jpg,2023-03-24,Chor Nikal Ke Bhaga,False,0,0
False,/2IY7AcLP0QLjBjqrl3FAYycJg3c.jpg,"[18, 10749, 53]",980165,hi,Karma Strikes,"Every Love story faces its Karma and so did theirs. Anil and Divya fell in love but their love's foundation was laid on the betrayal that ended up destroying the entire family of Anil; especially that of his loving daughter Sonam. Can Anil save his daughter from the wrath of his Karma?- watch the movie to find more. A family drama, a romantic love story, an intense thriller; Karma Strikes promises to be a roller coaster ride with 5 beautiful songs and a tight narrative on a running length of 132 mins.",5.662,/qKw7thGAiGsn6jw9gqR5FbPxWFC.jpg,2023-03-01,Karma Strikes,False,0,0
False,/hxqc4x1Ifxf3DSzqtuEUDMIkSqN.jpg,[18],1081726,hi,भीड़,"A social drama, shedding light on the dichotomy and complexities through the toughest times India faced. A crisis that shook the whole nation, a time when borders of disparity divided the people and one man stood for humanity.",5.566,/sJ3uHEY9LLP0BpdPy0KlJzYnmkv.jpg,2023-03-24,Bheed,False,0,0
False,/kU7o2g9COJErIx132ztmGrp3RWT.jpg,"[35, 18, 28]",926130,hi,सेल्फी,"Bollywood superstar Vijay Kumar needs to obtain a new driving license, from RTO officer, Om Prakash Agarwal, a diehard fan of Vijay. But a misunderstanding leads to a war of words between the two, eventually escalating into a feud which is played out in front of the media and the entire country.",5.426,/3qCL8HLse8dupDH3QW6oUaCBbGU.jpg,2023-02-24,Selfiee,False,4.7,3
False,/8WYMiWK6m3iCMbuSP5w2QVHXG54.jpg,"[35, 80, 53]",864573,hi,कुत्ते,"A van carrying crores of cash. One rainy night in the outskirts of Mumbai. Unaware of each other, three stray gangs cross paths on the hunt. Unfortunately, all of them have the same plan. Bullets... Blood... Betrayal... It’s every man for himself... All the dogs after one bone. Will these dogs bite the bone, or will they lose to greed?",5.398,/gSpjOWcstwm6jC2kkfhF22CRskl.jpg,2023-01-13,Kuttey,False,6.5,2
False,/2DuFc8pQvCdwtBAeckzvn5h2xnK.jpg,[18],1098371,hi,Furs and Strands,Shanti becomes a questionable member of her small family when her behaviour deviates from normalcy.,5.379,/y9yOxDbOrdpeW6FMuP7HK9RgPR2.jpg,2023-03-15,Furs and Strands,False,0,0
False,,"[28, 80, 53]",1020330,hi,Hacker 3.0,Haker 2.0 Part - 2,5.264,/8qmMS1cOMDMqDXd3EJbjUMh1N6k.jpg,2023-03-24,Hacker 3.0,False,0,0
False,,[36],957317,hi,शेर सिंह राणा,The movie appears to be based on the story of Sher Singh Raana ‘bringing back’ the ashes of Rajput ruler Prithviraj Chauhan from Afghanistan.,4.992,,2023-03-23,Sher Singh Raana,False,0,0
False,/htKWfLzATzyTwNVQ61IcABz1Okj.jpg,"[10751, 18]",974792,hi,गुलमोहर,"Batra family has just four days left to vacate their house of 34 years. Amidst the mayhem, uncertainties of the future, insecurities and secrets surface.",4.896,/mj5EtlJbYarecTcvRmFb9k4yEyo.jpg,2023-03-03,Gulmohar,False,6.7,3
False,/5AoHkoyzKsdZ6q2VjstQ9QlX3Rz.jpg,"[27, 53]",1092654,hi,गैसलाइट,"Meesha, a young paraplegic woman confined to a wheelchair, returns to her family’s royal estate after 15 years at the behest of her estranged father, only to learn that he’s mysteriously missing and probably dead.",4.817,/gbLleLzVPPqtAMd5lvhoJhb0uas.jpg,2023-03-31,Gaslight,False,0,0
False,/2QL5j6mB4ZpyBcVr0WO9H9MQGBu.jpg,"[28, 14, 16, 12, 10749]",734253,hi,आदिपुरुष,"7000 years ago, Ayodhya's king Raghava travels to the island of Lanka with an aim to rescue his wife Janaki, who has been abducted by Lankesh, the king of Lanka.",3.893,/kpuOeWclbtLU414Txv8ZT6HoZ0k.jpg,2023-06-16,Adipurush,False,0,0
False,/kQM7o3NIkruIZLoQ9E2XzZQ8Ujl.jpg,"[28, 35, 80]",783461,hi,लूप लपेटा,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",42.219,/onGdT8sYi89drvSJyEJnft97rOq.jpg,2022-02-04,Looop Lapeta,False,6.3,53
